"Timestamp","Entering Grade Level","District","Birth Month","OLSAT Verbal Score","OLSAT Verbal Percentile","NNAT Non Verbal Raw Score","NNAT Non Verbal Percentile","Overall Score","School Preferences","School Assigned","Will you enroll there?"
NA,"K",26,"December",29,99,42,99,99,"BSI",NA,NA
2017-05-31 19:19:23,"K",20,"February",30,99,42,99,99,"Bsi",NA,NA
2017-04-08 05:56:57,"1",1,"January",NA,89,42,99,96,NA,NA,NA
2018-03-26 20:00:00,"1",2,"May",20,90,43,99,96,NA,NA,NA
2017-04-08 04:20:44,"K",11,"December",21,96,43,99,98,"PS121",NA,"Yes"
2018-03-27 20:00:00,"K",13,"May",24,88,43,99,96,NA,NA,"Maybe"
NA,"K",30,"Febrauary",25,91,43,99,97,NA,NA,NA
2018-03-26 20:00:00,"K",27,"October",26,99,43,99,99,"Anderson,  PS188",NA,NA
2018-03-26 20:00:00,"K",29,"October",26,97,43,99,98,"NEST+m, PS11",NA,NA
2017-04-16 19:39:12,"1",3,"December",27,99,43,99,99,"Any city-wide",NA,"Yes"
2017-06-01 15:34:07,"1",3,"December",27,99,43,99,99,"All CW","Q300","Yes"
2018-03-26 20:00:00,"1",2,"January",27,99,43,99,99,NA,NA,NA
2017-04-07 09:00:25,"1",NA,"January",28,96,43,99,98,NA,NA,NA
2017-04-08 08:34:56,"2",26,"January",28,97,43,99,98,"PS Q203","PS Q203","Yes"
2017-04-25 06:25:19,"K",2,"March",28,99,43,99,99,"Anderson, NEST, TAG, PS77, PS33, PS11",NA,"Yes"
2018-03-26 20:00:00,"K",25,"July",28,99,43,99,99,"NEST",NA,NA
2017-05-29 15:48:04,"K",22,"October",NA,99,43,99,99,"Brooklyn school of inquiry",NA,"Yes"
2018-03-27 20:00:00,"K",2,"September",22,97,44,99,98,"LL, TAG",NA,NA
2017-04-17 07:08:35,"K",26,"March",24,96,44,99,98,"PS188",NA,"Yes"
NA,"K",2,"January",24,97,44,99,98,"Ps11","Ps33","Yes"
2018-03-26 20:00:00,"1",2,"January",24,97,44,99,98,"Nest, Anderson,LL, Tag, 11,33,130","33","Yes"
2018-03-26 20:00:00,"K",15,"November",24,90,44,99,96,"None",NA,NA
2018-03-26 20:00:00,"K",20,"March",24,79,44,99,94,":-(",NA,NA
2018-03-26 20:00:00,"1",30,"May",25,92,44,99,97,"122","122","Maybe"
2017-06-01 14:19:31,"K",14,"May",26,99,44,99,99,"NEST","NEST","Yes"
2018-06-04 20:00:00,"K",27,"November",27,99,44,99,99,"Nest, BSI, TAG, 30th Ave School","TAG","Maybe"
2017-04-08 05:26:30,"2",2,"February",28,97,44,99,98,NA,NA,NA
2018-03-28 20:00:00,"K",28,"February",28,98,44,99,99,NA,NA,NA
2017-04-07 07:32:52,"2",NA,"April",29,99,44,99,99,"Any citywide or district 3 school",NA,"Yes"
2017-04-18 07:09:44,"1",2,"March",29,99,44,99,99,NA,"Anderson","No"
2017-04-26 13:16:18,"1",2,"May",29,99,44,99,99,"Anderson, Nest, Tag, LL",NA,"Maybe"
2017-05-15 11:33:17,"1",21,"November",29,99,44,99,99,"Bsi",NA,NA
2017-06-01 15:10:52,"2",3,"April",29,99,44,99,99,"Anderson, Nest, Tag, BSI, Q300, PS166, PS163","PS 163","Maybe"
NA,"1",2,"August",30,99,44,99,99,"Lower Lab, Anderson, PS 11, NEST + m, Ps 33","Lower lab (off waitlist)","Yes"
2018-03-26 20:00:00,"K",28,"January",30,99,44,99,99,NA,NA,NA
NA,"K",19,"July",30,99,44,99,99,"BSI, Q300","district","No"
2017-04-12 08:40:43,"K",28,"November",18,88,45,99,96,"TBD",NA,"Maybe"
2017-04-07 08:03:49,"K",NA,"December",23,98,45,99,99,NA,NA,NA
2017-04-25 06:59:38,"1",26,"April",23,81,45,99,95,"p.s.203q","none","Yes"
2017-04-21 07:40:53,"K",26,"January",24,99,45,99,98,NA,NA,NA
2017-06-06 19:23:20,"K",26,"January",24,96,45,99,98,NA,NA,"Maybe"
2018-03-26 20:00:00,"1",2,"January",25,99,45,99,99,"NEST+M",NA,"Yes"
2017-04-25 05:44:43,"K",3,"March",26,99,45,99,99,"Anderson",NA,"Yes"
2018-03-27 20:00:00,"K",2,"January",26,91,45,99,97,"N/A stay district g&t",NA,NA
2017-04-08 20:11:05,"K",14,"May",27,99,45,99,99,"Nest",NA,"Maybe"
2018-03-26 20:00:00,"K",21,"August",27,98,45,99,99,NA,NA,NA
2018-03-31 20:00:00,"K",2,"July",27,99,45,99,99,"Anderson, TAG, NEST, q300","Anderson","Yes"
2017-04-08 12:31:36,"1",2,"March",28,99,45,99,99,NA,NA,"Maybe"
2018-03-26 20:00:00,"1",3,"January",28,98,45,99,99,"NEST,Anderson,TAG,Q300,BSI","TAG",NA
2018-04-06 20:00:00,"K",14,"March",28,97,45,99,98,NA,NA,"Maybe"
2017-04-17 12:14:41,"1",21,"December",29,99,45,99,99,"BSI",NA,NA
2018-03-26 20:00:00,"K",15,"september",23,88,46,99,96,"Not sure",NA,NA
2018-04-10 20:00:00,"K",14,"January",25,99,46,99,99,"NEST+M, Andreson, district",NA,NA
2017-04-07 10:50:06,"1",NA,"January",26,89,46,99,96,NA,NA,NA
2017-04-08 15:56:05,"1",15,"January",26,89,46,99,96,"Likely staying in zoned schools; D15 G&T options are limited.",NA,NA
2017-05-16 06:18:35,"K",28,"December",26,99,46,99,99,"NEST/Anderson/Q300",NA,NA
2018-03-26 20:00:00,"K",28,"March",26,95,46,99,98,"anderson",NA,NA
2017-04-08 18:08:30,"K",25,"February",27,99,46,99,99,"TBD",NA,"Yes"
2018-03-26 20:00:00,"K",30,"January",27,95,46,99,98,"Q300",NA,NA
2017-04-08 04:44:05,"K",26,"May",28,99,46,99,99,"Anderson","PS 203","Maybe"
NA,"1",2,"January",28,96,46,99,98,NA,NA,NA
2018-03-29 20:00:00,"K",15,"May",28,99,46,99,99,"NEST+M",NA,"Maybe"
2017-03-26 20:00:00,"1",13,"August",30,99,46,99,99,"Anderson?",NA,"Maybe"
2018-03-30 20:00:00,"K",3,"August",24,87,47,99,96,"Likely none",NA,NA
2018-04-13 20:00:00,"K",2,"October",25,95,47,99,98,NA,NA,NA
